version,inline,union,bit,algorithm,perf
v1,no,no,no,sum,29.254807
v1,no,no,no,split_sum,1.614487
v1,no,no,no,split_sum_2,1.519372
v1,no,no,no,loop_sum,28.559490
v1,no,no,no,unwrap_sum,56.045397
v1,no,no,no,branchfree_sum,55.143916
v1,no,no,no,split_loop_sum,2.532507
v1,no,no,no,simd_sum,3.146625
v2,no,no,yes,sum,47.616807
v2,no,no,yes,split_sum,1.002057
v2,no,no,yes,split_sum_2,1.230987
v2,no,no,yes,loop_sum,42.197771
v2,no,no,yes,unwrap_sum,86.304434
v2,no,no,yes,branchfree_sum,86.901904
v2,no,no,yes,split_loop_sum,2.135037
v2,no,no,yes,simd_sum,12.440233
v3,no,yes,no,sum,106.434167
v3,no,yes,no,split_sum,1.914877
v3,no,yes,no,split_sum_2,2.373021
v3,no,yes,no,loop_sum,94.311402
v3,no,yes,no,unwrap_sum,74.165996
v3,no,yes,no,branchfree_sum,73.810155
v3,no,yes,no,split_loop_sum,3.319369
v3,no,yes,no,simd_sum,4.005478
v4,no,yes,yes,sum,118.015378
v4,no,yes,yes,split_sum,1.003590
v4,no,yes,yes,split_sum_2,1.032019
v4,no,yes,yes,loop_sum,101.355269
v4,no,yes,yes,unwrap_sum,97.027841
v4,no,yes,yes,branchfree_sum,93.929071
v4,no,yes,yes,split_loop_sum,1.909027
v4,no,yes,yes,simd_sum,13.819422
v5,yes,no,no,sum,2.662967
v5,yes,no,no,split_sum,1.802576
v5,yes,no,no,split_sum_2,1.891348
v5,yes,no,no,loop_sum,3.458191
v5,yes,no,no,unwrap_sum,4.729534
v5,yes,no,no,branchfree_sum,4.566613
v5,yes,no,no,split_loop_sum,2.589016
v5,yes,no,no,simd_sum,3.592518
v6,yes,no,yes,sum,14.700082
v6,yes,no,yes,split_sum,0.990456
v6,yes,no,yes,split_sum_2,1.282538
v6,yes,no,yes,loop_sum,12.599877
v6,yes,no,yes,unwrap_sum,22.038551
v6,yes,no,yes,branchfree_sum,22.576720
v6,yes,no,yes,split_loop_sum,2.174574
v6,yes,no,yes,simd_sum,11.523332
v7,yes,yes,no,sum,68.032261
v7,yes,yes,no,split_sum,1.876254
v7,yes,yes,no,split_sum_2,2.261337
v7,yes,yes,no,loop_sum,65.938499
v7,yes,yes,no,unwrap_sum,5.289774
v7,yes,yes,no,branchfree_sum,5.580383
v7,yes,yes,no,split_loop_sum,2.898102
v7,yes,yes,no,simd_sum,4.290056
v8,yes,yes,yes,sum,80.289035
v8,yes,yes,yes,split_sum,1.112781
v8,yes,yes,yes,split_sum_2,1.054684
v8,yes,yes,yes,loop_sum,82.716613
v8,yes,yes,yes,unwrap_sum,24.281750
v8,yes,yes,yes,branchfree_sum,25.629644
v8,yes,yes,yes,split_loop_sum,2.248761
v8,yes,yes,yes,simd_sum,13.481207
